Country Name,Country Code,Series Name,Series Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,6395712392,8524620739,10725137931,9616879571,9982711338,11551819618,11578974888,12423555269,12522957228,11323020829
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,3998020177,4432937046,5321012192,6191127665,6959655571,8004000737,6028487929,5518880769,6047813437,6373212641
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1.62691E+11,1.93548E+11,2.30814E+11,2.02258E+11,2.55017E+11,2.97952E+11,3.14443E+11,3.23277E+11,3.38062E+11,3.01355E+11
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,1575200391,1868383461,2271646188,2345294875,2588176055,2774351760,2886170572,3295011382,3697351597,4109424800
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,6905934548,8156469133,9838404005,10231962891,10689167195,12995113407,12442036265,13242691430,14364937997,13104764334
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,6778321415,7925403778,9090376446,8696304529,9035927350,9638919822,9462289606,10551600478,11626278730,11091423499
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,142745200,149870000,145969100,150624900,160318500,171567100,179855800,185468000,185172900,182997300
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,3919577286,4346206809,5206444407,4714592493,5628882266,6764635687,6728208836,7223063170,6592537782,6166857629
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,7028803366,8150138757,9990370016,9128843109,10003670690,11518393367,11668685524,12292957324,13074137210,12007291046
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,9.75387E+11,1.0527E+12,1.10999E+12,9.00045E+11,1.0578E+12,1.18049E+12,1.20109E+12,1.27444E+12,1.31535E+12,1.17187E+12
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,253541900,256787200,263145100,280284600,296944100,311301600,327248700,317214400,319271200,316489900
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,3408244549,4401189466,6054849885,5439422031,6974982393,8414351672,8709138765,9496717702,9510198962,7745241913
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,4582988333,5867916781,6476490406,5451653237,5367625613,6088808463,5743029680,6555983530,7069616049,6261622101
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,3414055566,4234999823,5623216449,4583850368,7189481824,10409797649,12292770631,12582122604,12226514722,11619892396
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,2721903149,3680711744,4545674528,4159330370,4143033276,4544516982,4087725813,4466039315,4594024180,4054712083
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,68640825481,79041294874,92507257784,92897320376,93216746662,1.0137E+11,98266306615,1.06826E+11,1.19131E+11,1.10414E+11
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,9176889070,10450843291,12556195189,11914471497,11104648673,14381552433,16350804543,16974320551,17716084108,15950969019
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,11863016315,15591182545,23013015832,29455165595,37796052939,54118601975,58318677645,60572257122,63264892768,63045305229
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,8001779551,8839526452,8607475308,8938868165,11431334447,12523402329,13042007432,12043276401,12435416063,11335179561
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,47564520.39,66055407.67,96927201.48,98491843.64,104654365.2,86529661.37
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,9043715356,10325618017,12545438605,12854985464,16002656434,21573862467,21703106502,22162208956,22731602970,24360795411
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,7.33955E+11,8.48559E+11,9.5187E+11,8.71519E+11,8.47381E+11,9.05271E+11,8.38923E+11,8.77173E+11,8.92168E+11,7.65573E+11
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,6979153332,8819922042,9067623001,8704436169,9364347372,10351442209,9659153061,10151385306,10635039739,8738205837
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,1.11539E+11,1.37189E+11,1.33131E+11,1.21374E+11,1.46518E+11,1.68291E+11,1.76207E+11,1.90907E+11,2.01313E+11,1.78064E+11
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,6763361733,7423313549,8496946608,8298679909,8758639096,9774307336,10532006608,10982979274,11880434071,12756706583
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,4756361480,5731485267,7297600897,7352131669,7851191899,8772951262,9426913349,10224897935,10862944204,9683867894
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,2.38455E+11,2.78261E+11,3.39476E+11,2.95009E+11,3.66991E+11,4.14467E+11,4.63971E+11,5.20117E+11,5.74184E+11,4.93027E+11
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,6861222332,8336478142,9909548411,9401731496,9407168702,10494632699,9745251126,10817712139,11362272838,10064515432
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,990000000,938000000,939000000,795000000,799000000,729000000,746000000,772000000,832000000,910000000
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,3.45581E+11,4.00937E+11,4.6225E+11,3.8619E+11,4.28757E+11,4.98283E+11,5.09506E+11,5.22762E+11,4.9841E+11,3.85802E+11
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,37215779714,42085379454,60905452536,48388363589,64993498049,77497529259,87408842653,89936020806,92699089727,78710793238
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1.37264E+11,1.52386E+11,1.70078E+11,1.68153E+11,1.77166E+11,2.13587E+11,2.24384E+11,2.31219E+11,2.44361E+11,2.70556E+11
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,192382400,198897700,198283900,187522800,185943000,196911100,212397800,221117200,241669800,280457700
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,18141666300,21295984200,25155888600,27116635600,29440287600,34686224300,40429700000,45599900000,49921400000,54091800000
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,8355006707,9545177014,11670840932,11619637799,14250755231,17984910502,21295659244,21261432791,23210682538,21723531173
